Country,Country_Code,C_Rate,Capacity_MWh,WACC_%,Inflation_%,Annual_Profit_EUR,CAPEX_EUR,NPV_EUR,Levelized_ROI_%,PV_Total_Profits_EUR,Is_Profitable
Germany,DE,0.5,2.0,8.3,2.0,520000,400000.0,3321028.5152765433,93.02571288191358,3721028.5152765433,True
Germany,DE,1.0,1.0,8.3,2.0,720000,200000.0,4952193.328844445,257.60966644222225,5152193.328844445,True
Germany,DE,2.0,0.5,8.3,2.0,1050000,100000.0,7413615.271231481,751.3615271231481,7513615.271231481,True
Austria,AT,0.5,2.0,8.3,3.3,472310,400000.0,3158091.7540544663,88.95229385136165,3558091.7540544663,True
Austria,AT,1.0,1.0,8.3,3.3,650000,200000.0,4696698.439870855,244.83492199354276,4896698.439870855,True
Austria,AT,2.0,0.5,8.3,3.3,950000,100000.0,7056713.104426634,715.6713104426633,7156713.104426634,True
Switzerland,CH,0.5,2.0,8.3,0.1,450000,400000.0,2590596.001893028,74.7649000473257,2990596.001893028,True
Switzerland,CH,1.0,1.0,8.3,0.1,620000,200000.0,3920376.713719283,206.01883568596415,4120376.713719283,True
Switzerland,CH,2.0,0.5,8.3,0.1,900000,100000.0,5881192.003786056,598.1192003786056,5981192.003786056,True
Czech Republic,CZ,0.5,2.0,12.0,2.9,580000,400000.0,3242384.7514198762,91.05961878549691,3642384.7514198762,True
Czech Republic,CZ,1.0,1.0,12.0,2.9,800000,200000.0,4823978.967475693,251.19894837378465,5023978.967475693,True
Czech Republic,CZ,2.0,0.5,12.0,2.9,1200000,100000.0,7435968.451213539,753.5968451213539,7535968.451213539,True
Hungary,HU,0.5,2.0,15.0,4.6,600000,400000.0,3133310.294605246,88.33275736513114,3533310.294605246,True
Hungary,HU,1.0,1.0,15.0,4.6,850000,200000.0,4805522.917357432,250.2761458678716,5005522.917357432,True
Hungary,HU,2.0,0.5,15.0,4.6,1300000,100000.0,7555505.638311366,765.5505638311365,7655505.638311366,True
