time_step,hour,soc_kwh,soc_pct,p_ch_kw,p_dis_kw,p_total_ch_kw,p_total_dis_kw,p_afrr_pos_e_kw,p_afrr_neg_e_kw,y_ch,y_dis,y_total_ch,y_total_dis,c_fcr_mw,c_afrr_pos_mw,c_afrr_neg_mw,y_fcr,y_afrr_pos,y_afrr_neg,price_da_eur_mwh,price_fcr_eur_mw,price_afrr_cap_pos_eur_mw,price_afrr_cap_neg_eur_mw,price_afrr_energy_pos_eur_mwh,price_afrr_energy_neg_eur_mwh,cst8_discharge_sum,cst8_charge_sum,revenue_da_eur,revenue_afrr_energy_eur,revenue_as_capacity_eur
0,0.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,25.9700,114.8000,5.2500,25.2100,38.7000,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
1,0.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,25.9700,114.8000,5.2500,25.2100,38.8000,8.3200,1.0000,1.0000,0.0000,0.0000,32.0866
2,0.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,25.9700,114.8000,5.2500,25.2100,38.7600,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
3,0.7500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,25.9700,114.8000,5.2500,25.2100,509.0000,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
4,1.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,21.9900,114.8000,5.2500,25.2100,41.7900,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
5,1.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,21.9900,114.8000,5.2500,25.2100,37.7000,11.0000,1.0000,1.0000,0.0000,0.0000,32.0866
6,1.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,21.9900,114.8000,5.2500,25.2100,32.8400,10.9000,1.0000,1.0000,0.0000,0.0000,32.0866
7,1.7500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,21.9900,114.8000,5.2500,25.2100,32.8000,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
8,2.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,14.3200,114.8000,5.2500,25.2100,72.8400,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
9,2.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,14.3200,114.8000,5.2500,25.2100,66.8300,5.2000,1.0000,1.0000,0.0000,0.0000,32.0866
10,2.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,14.3200,114.8000,5.2500,25.2100,21.3100,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
11,2.7500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,14.3200,114.8000,5.2500,25.2100,21.3700,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
12,3.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,11.3700,114.8000,5.2500,25.2100,17.1900,5.7000,1.0000,1.0000,0.0000,0.0000,32.0866
13,3.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,11.3700,114.8000,5.2500,25.2100,16.9400,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
14,3.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,11.3700,114.8000,5.2500,25.2100,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
15,3.7500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,-0.0000,11.3700,114.8000,5.2500,25.2100,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,32.0866
16,4.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,0.0000,11.3500,104.4000,5.0100,23.4000,17.8800,0.0000,1.0000,1.0000,0.0000,0.0000,29.1798
17,4.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,0.0000,11.3500,104.4000,5.0100,23.4000,17.7300,0.0000,1.0000,1.0000,0.0000,0.0000,29.1798
18,4.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,0.0000,11.3500,104.4000,5.0100,23.4000,16.9200,5.7000,1.0000,1.0000,0.0000,0.0000,29.1798
19,4.7500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,0.0000,11.3500,104.4000,5.0100,23.4000,16.9400,1.8200,1.0000,1.0000,0.0000,0.0000,29.1798
20,5.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,0.0000,11.3900,104.4000,5.0100,23.4000,17.9500,3.5600,1.0000,1.0000,0.0000,0.0000,29.1798
21,5.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,0.0000,11.3900,104.4000,5.0100,23.4000,17.0100,4.2000,1.0000,1.0000,0.0000,0.0000,29.1798
22,5.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,0.0000,11.3900,104.4000,5.0100,23.4000,17.1700,5.7000,1.0000,1.0000,0.0000,0.0000,29.1798
23,5.7500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,1.1180,0.0000,0.0000,1.0000,0.0000,0.0000,11.3900,104.4000,5.0100,23.4000,17.3100,0.0000,1.0000,1.0000,0.0000,0.0000,29.1798
