time_step,hour,soc_kwh,soc_pct,p_ch_kw,p_dis_kw,p_total_ch_kw,p_total_dis_kw,p_afrr_pos_e_kw,p_afrr_neg_e_kw,y_ch,y_dis,y_total_ch,y_total_dis,c_fcr_mw,c_afrr_pos_mw,c_afrr_neg_mw,y_fcr,y_afrr_pos,y_afrr_neg,price_da_eur_mwh,price_fcr_eur_mw,price_afrr_cap_pos_eur_mw,price_afrr_cap_neg_eur_mw,price_afrr_energy_pos_eur_mwh,price_afrr_energy_neg_eur_mwh,cst8_discharge_sum,cst8_charge_sum,revenue_da_eur,revenue_afrr_energy_eur,revenue_as_capacity_eur
0,0.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,25.9700,114.8000,5.2500,25.2100,38.7000,0.0000,1.0000,1.0000,0.0000,0.0000,64.1732
1,0.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,25.9700,114.8000,5.2500,25.2100,38.8000,8.3200,1.0000,1.0000,0.0000,0.0000,64.1732
2,0.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,25.9700,114.8000,5.2500,25.2100,38.7600,0.0000,1.0000,1.0000,0.0000,0.0000,64.1732
3,0.7500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,25.9700,114.8000,5.2500,25.2100,509.0000,0.0000,1.0000,1.0000,0.0000,0.0000,64.1732
4,1.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,21.9900,114.8000,5.2500,25.2100,41.7900,0.0000,1.0000,1.0000,0.0000,0.0000,64.1732
5,1.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,21.9900,114.8000,5.2500,25.2100,37.7000,11.0000,1.0000,1.0000,0.0000,0.0000,64.1732
6,1.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,21.9900,114.8000,5.2500,25.2100,32.8400,10.9000,1.0000,1.0000,0.0000,0.0000,64.1732
7,1.7500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,21.9900,114.8000,5.2500,25.2100,32.8000,0.0000,1.0000,1.0000,0.0000,0.0000,64.1732
8,2.0000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,14.3200,114.8000,5.2500,25.2100,72.8400,0.0000,1.0000,1.0000,0.0000,0.0000,64.1732
9,2.2500,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,14.3200,114.8000,5.2500,25.2100,66.8300,5.2000,1.0000,1.0000,0.0000,0.0000,64.1732
10,2.5000,2236.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,2.2360,0.0000,0.0000,1.0000,-0.0000,0.0000,14.3200,114.8000,5.2500,25.2100,21.3100,0.0000,1.0000,1.0000,0.0000,0.0000,64.1732
